奖励财务人员返还是否缴税财政部若干政策问题通知1994财税字20文件规定办理代扣代缴税款手续按规定取得扣缴手续费暂免征收规定返还手续费发给办税人员办税人员享受免征若此财务人员办税相关人员文件认为需要就此返还收入缴纳,个人所得税
开发经营企业土地成本原则分配成本对象印发房地产开发经营业务企业所得税处理办法通知国税发200931第三十条规定企业下列成本以下方法进行分配土地成本一般占地面积进行分配确需结合方法进行分配应商税务机关同意土地开发连结房地产开发属于一次性取得土地分期开发房地产情况土地开发成本经商税务机关同意可先土地整体预算成本进行分配土地整体开发完毕再行调整国税发200931印发房地产开发经营业务企业所得税处理办法通知第三十条,企业所得税
注销生产车辆总公司不用过户入账车辆原则上不能需要过户入账建议分公司此些生产车辆销售总公司总公司交易价格入账过户,综合
所得12纳税人财产租赁所得申报口径印发自行纳税申报办法试行通知国税发2006162第八条第五款规定财产租赁所得减除费用每次800每次收入20%修缮费用收入额明确所得12万元自行纳税申报口径通知国税函20061200第一条第二款规定不得减除纳税人出租财产过程缴纳税费纳税人一次取得跨年度财产租赁所得视为实际取得所得年度所得国税发2006162印发自行纳税申报办法试行通知第八条国税函20061200明确所得12万元自行纳税申报口径通知第一条,个人所得税
退休年龄提前内退人员公司承担人员五险一金费用包含部分请问人员需要进行申报公司承担部分五险一金费用工资费用福利费描述贵司需要人员继续代扣代缴申报公司承担部分社保费用属于工资薪金组成部分计入工资薪金计入福利费相关规定政策问题通知国税发199958企业减员增效行政事业单位社会团体机构改革过程实行内部退养办法人员取得收入征税问题实行内部退养办理内部退养手续法定离退休年龄之间从原任职单位取得工资薪金属于离退休工资工资薪金所得项目计征,个人所得税
过节员工发放礼品组织全员春游福利费列支需要代扣个税过节员工发放礼品组织全员春游福利费列支属于员工取得任职受雇相关货币所得需要并入工资薪金所得代扣代缴相关规定企业工资薪金职工福利费扣除问题通知国税函2009职工福利费扣除问题实施条例第四十条规定企业职工福利费包括以下内容尚未实行分离社会职能企业内设福利部门发生设备设施人员费用包括职工食堂职工浴室理发室医务所托儿所疗养院集体福利部门设备设施维修保养费用福利部门工作人员工资薪金住房公积金劳务费职工卫生保健生活住房交通发放各项补贴货币福利包括企业职工发放因公外地就医费用实行医疗统筹企业职工医疗费用职工供养直系亲属医疗补贴供暖费补贴职工防暑降温职工困难补贴救济费职工食堂经费补贴职工交通补贴规定发生职工福利费包括丧葬补助费抚恤安家费探亲假路费实施条例第四十条,个人所得税
促进残疾人就业增值税优惠政策企业是否能够累加享受支持就业增值税优惠政策财政部促进残疾人就业增值税优惠政策通知财税201652规定适用促进残疾人就业增值税优惠政策适用重点群体退役士兵随军家属军转干部支持就业增值税优惠政策纳税人自行选择适用优惠政策不能累加执行一经选定36不得变更十二通知2016日起执行纳税人2016日前执行财税200792财税2013106文件发生应退未退增值税余额通知第五条规定执行,增值税
发生融资售后回租业务销售额扣除承租方收取有形动产价款本金本金部分扣除营业税改征增值税试点期间增值税问题公告公告201590规定纳税人提供有形动产融资售后回租服务计算当期销售额扣除有形动产价款本金书面合同约定当期应当收取本金书面合同书面合同没有约定当期实际收取本金公告2016日起施行此前处理事项按本公告规定执行公告201590营业税改征增值税试点期间增值税问题公告,增值税
11%降为10%建筑施工单位最终决算没有没有办法确认收入最后开发票是否适用10%增值税税率描述判断纳税义务发生时间合同没有明确之前付款开票财税201636第四十五第一项规定贵司增值税纳税义务发生时间付款时间开票时间月份之后开具财税201832号文规定10%开票小提示避免纠纷情况受票方商议相关规定营业税改征增值税试点实施办法财税201636第四十五增值税纳税义务扣缴义务发生时间纳税人发生应税行为收讫销售款项取得索取销售款项凭据当天开具发票开具发票当天收讫销售款项纳税人销售服务无形资产不动产过程完成收到款项取得索取销售款项凭据当天书面合同确定付款日期签订书面合同书面合同未确定付款日期服务无形资产转让完成当天不动产权属变更当天调整增值税纳税申报事项公告公告201817调整增值税纳税申报事项公告公告201719附件增值税纳税申报表附列资料本期销售情况明细4a4b项目名称调整16%税率货物加工修理修配劳务16%税率服务不动产无形资产10%税率货物加工修理修配劳务10%税率服务不动产无形资产13%税率相关列次不再填写调整表式附件公告施行纳税人申报适用17%11%增值税税率应税项目申报表调整前后对应关系填写相关栏次全面推开营业税改征增值税试点增值税纳税申报事项公告公告201613附件增值税纳税申报表附列资料服务不动产无形资产扣除项目明细项目名称调整16%税率项目10%税率项目调整表式附件公告201613附件增值税纳税申报表一般纳税人适用及其附列资料填写说明增值税纳税申报表附列资料本期销售情况明细填写说明各列说明14扣除销项应纳税额表述增加以下内容4b14公式本行12列为该行次第14等于10本行12列不为14列所列公式计算计算结果纳税人实际计提销项税额差异实际填写公告2018日起施行公告201719附件增值税纳税申报表附列资料本期销售情况明细公告201613附件增值税纳税申报表附列资料服务不动产无形资产扣除项目明细废止,增值税
一张中国移动开具发票预付卡销售500电子充值卡能否税前扣除若此提供客户使用发票客户签收能否税前扣除贵司取得预售发票税前扣除凭证所得税权责发生原则贵司取得发票可能并未实际消费实务中较企业处理方法预售实际消费税前扣除贵司预售提供客户使用发票客户签收税前扣除凭证,企业所得税
